Ç°ºó×ºÃû³Æ	ÊÇ·ñÇ°×º	ÎåÐÐÊôÐÔÒªÇó	µÈ¼¶ÒªÇó	ÊôÐÔµ÷ÕûÀà±ð	²ÎÊý1×îÐ¡Öµ	²ÎÊý1×î´óÖµ	²ÎÊý2×îÐ¡Öµ	²ÎÊý2×î´óÖµ	²ÎÊý3×îÐ¡Öµ	²ÎÊý3×î´óÖµ	Ð§¹ûËµÃ÷	½ü³ÌÎäÆ÷	°µÆ÷	¿ø¼×	½äÖ¸	ÏîÁ´	Ñ¥×Ó	Ñü´ø	Í·¿ø	»¤Íó	Ñü×¹	Âí
T¨ng chÝnh x¸c	1		2	166	180	180	-1	-1	0	0	¼ÓÃüÖÐÂÊ	200000	200000	0	0	0	0	0	0	0	0	0
T¨ng chÝnh x¸c	1		3	166	270	270	-1	-1	0	0	¼ÓÃüÖÐÂÊ	300000	300000	0	0	0	0	0	0	0	0	0
T¨ng chÝnh x¸c	1		4	166	290	360	-1	-1	0	0	¼ÓÃüÖÐÂÊ	400000	400000	0	0	0	0	0	0	0	0	0
T¨ng chÝnh x¸c	1		5	166	420	450	-1	-1	0	0	¼ÓÃüÖÐÂÊ	500000	500000	0	0	0	0	0	0	0	0	0
T¨ng chÝnh x¸c	1		6	166	450	540	-1	-1	0	0	¼ÓÃüÖÐÂÊ	600000	600000	0	0	0	0	0	0	0	0	0
T¨ng chÝnh x¸c	1		7	166	580	630	-1	-1	0	0	¼ÓÃüÖÐÂÊ	700000	700000	0	0	0	0	0	0	0	0	0
T¨ng chÝnh x¸c	1		8	166	610	720	-1	-1	0	0	¼ÓÃüÖÐÂÊ	800000	800000	0	0	0	0	0	0	0	0	0
T¨ng chÝnh x¸c	1		9	166	740	810	-1	-1	0	0	¼ÓÃüÖÐÂÊ	900000	900000	0	0	0	0	0	0	0	0	0
T¨ng chÝnh x¸c	1		10	166	870	900	-1	-1	0	0	¼ÓÃüÖÐÂÊ	1000000	1000000	0	0	0	0	0	0	0	0	0
Tèc ®é ®¸nh ngo¹i c«ng	1		2	115	40	45	-1	-1	0	0	¼Ó¹¥»÷ËÙ¶È	100000	100000	0	0	0	0	0	0	0	0	0
Tèc ®é ®¸nh ngo¹i c«ng	1		5	115	55	60	-1	-1	0	0	¼Ó¹¥»÷ËÙ¶È	200000	200000	0	0	0	0	0	0	0	0	0
Tèc ®é ®¸nh ngo¹i c«ng	1		10	115	60	90	-1	-1	0	0	¼Ó¹¥»÷ËÙ¶È	500000	500000	0	0	0	0	0	0	0	0	0
Tèc ®é ®¸nh néi c«ng	1		5	116	30	40	-1	-1	0	0	¼Ó¹¥»÷ËÙ¶È	100000	100000	0	0	0	0	0	0	0	0	0
Tèc ®é ®¸nh néi c«ng	1		10	116	40	60	-1	-1	0	0	¼Ó¹¥»÷ËÙ¶È	500000	500000	0	0	0	0	0	0	0	0	0
Bá qua nÐ tr¸nh	1		10	58	1	1	-1	-1	0	0	ºöÂÔ¶ÔÊÖ·ÀÓù	100000	100000	0	0	0	0	0	0	0	0	0
Kh«ng thÓ ph¸ hñy	1		10	43	1	1	-1	-1	0	0	ÓÀ²»Ä¥Ëð	100000	100000	100000	0	0	10000	10000	10000	10000	0	0
T¨ng phßng thñ ®èi ®a	1		1	150	90	90	-1	-1	0	0	¼Ó·ÀÓùÇ¿»¯	0	0	0	0	0	0	0	0	0	0	0
T¨ng phßng thñ ®èi ®a	1		2	150	120	120	-1	-1	0	0	¼Ó·ÀÓùÇ¿»¯	0	0	0	0	0	0	0	0	0	0	0
T¨ng phßng thñ ®èi ®a	1		3	150	140	150	-1	-1	0	0	¼Ó·ÀÓùÇ¿»¯	0	0	0	0	0	0	0	0	0	0	0
T¨ng phßng thñ ®èi ®a	1		4	150	150	180	-1	-1	0	0	¼Ó·ÀÓùÇ¿»¯	0	0	0	0	0	0	0	0	0	0	0
T¨ng phßng thñ ®èi ®a	1		5	150	160	210	-1	-1	0	0	¼Ó·ÀÓùÇ¿»¯	0	0	0	0	0	0	0	0	0	0	0
T¨ng phßng thñ ®èi ®a	1		6	150	170	245	-1	-1	0	0	¼Ó·ÀÓùÇ¿»¯	0	0	0	0	0	0	0	0	0	0	0
T¨ng phßng thñ ®èi ®a	1		7	150	285	310	-1	-1	0	0	¼Ó·ÀÓùÇ¿»¯	0	0	0	0	0	0	0	0	0	0	0
T¨ng phßng thñ ®èi ®a	1		8	150	410	450	-1	-1	0	0	¼Ó·ÀÓùÇ¿»¯	0	0	0	0	0	0	0	0	0	0	0
T¨ng phßng thñ ®èi ®a	1		9	150	550	600	-1	-1	0	0	¼Ó·ÀÓùÇ¿»¯	0	0	0	0	0	0	0	0	0	0	0
T¨ng phßng thñ ®èi ®a	1		10	150	600	750	-1	-1	0	0	¼Ó·ÀÓùÇ¿»¯	0	0	0	0	0	0	0	0	0	0	0
T¨ng tèc ®é ch¹y	1		2	111	30	35	-1	-1	0	0	¼Ó¿ì×ßÂ·/ÅÜ²½ËÙ¶È	0	0	0	0	0	500000	0	0	0	0	0
T¨ng tèc ®é ch¹y	1		4	111	35	40	-1	-1	0	0	¼Ó¿ì×ßÂ·/ÅÜ²½ËÙ¶È	0	0	0	0	0	500000	0	0	0	0	0
T¨ng tèc ®é ch¹y	1		6	111	40	45	-1	-1	0	0	¼Ó¿ì×ßÂ·/ÅÜ²½ËÙ¶È	0	0	0	0	0	500000	0	0	0	0	0
T¨ng tèc ®é ch¹y	1		8	111	45	60	-1	-1	0	0	¼Ó¿ì×ßÂ·/ÅÜ²½ËÙ¶È	0	0	0	0	0	500000	0	0	0	0	0
T¨ng tèc ®é ch¹y	1		10	111	60	80	-1	-1	0	0	¼Ó¿ì×ßÂ·/ÅÜ²½ËÙ¶È	0	0	0	0	0	500000	0	0	0	0	0
Ph¶n ®ßn VËt lý	1		3	117	31	40	-1	-1	0	0	·´µ¯ÎïÀí¹¥»÷	0	0	100000	0	0	0	0	0	0	0	0
Ph¶n ®ßn VËt lý	1		9	117	40	60	-1	-1	0	0	·´µ¯ÎïÀí¹¥»÷	0	0	100000	0	0	0	0	0	0	0	0
Thêi gian phôc håi	1		3	113	20	40	-1	-1	0	0	¿ìËÙ´ò»÷»Ø¸´	0	0	250000	0	0	0	0	0	0	0	0
Thêi gian phôc håi	1		6	113	40	60	-1	-1	0	0	¿ìËÙ´ò»÷»Ø¸´	0	0	250000	0	0	0	0	0	0	0	0
Thêi gian phôc håi	1		9	113	60	80	-1	-1	0	0	¿ìËÙ´ò»÷»Ø¸´	0	0	250000	0	0	0	0	0	0	0	0
T¨ng ph¹m vi s¸t th­¬ng	1		1	112	1	1	-1	-1	0	0	¼ÓºÚ°µ´¦ÊÓÒ°·¶Î§	0	0	0	0	0	0	0	0	0	0	0
T¨ng ph¹m vi s¸t th­¬ng	1		2	112	2	2	-1	-1	0	0	¼ÓºÚ°µ´¦ÊÓÒ°·¶Î§	0	0	0	0	0	0	0	0	0	0	0
T¨ng ph¹m vi s¸t th­¬ng	1		3	112	3	3	-1	-1	0	0	¼ÓºÚ°µ´¦ÊÓÒ°·¶Î§	0	0	0	0	0	0	0	0	0	0	0
T¨ng ph¹m vi s¸t th­¬ng	1		4	112	4	4	-1	-1	0	0	¼ÓºÚ°µ´¦ÊÓÒ°·¶Î§	0	0	0	0	0	0	0	0	0	0	0
T¨ng ph¹m vi s¸t th­¬ng	1		5	112	5	5	-1	-1	0	0	¼ÓºÚ°µ´¦ÊÓÒ°·¶Î§	0	0	0	0	0	0	0	0	0	0	0
T¨ng ph¹m vi s¸t th­¬ng	1		6	112	6	6	-1	-1	0	0	¼ÓºÚ°µ´¦ÊÓÒ°·¶Î§	0	0	0	0	0	0	0	0	0	0	0
Kü n¨ng vèn cã	1		5	139	1	2	-1	-1	0	0	¼Ó¼¼ÄÜ	10000	10000	0	10000	0	0	0	0	0	0	0
Kü n¨ng vèn cã	1		10	139	1	3	-1	-1	0	0	¼Ó¼¼ÄÜ	2000	2000	0	2000	0	0	0	0	0	0	0
t¨ng phßng thñ vËt lý	1		1	114	18	20	-1	-1	0	0	¼ÓËÄ·À	0	0	0	0	100000	0	0	0	0	0	0
t¨ng phßng thñ vËt lý	1		2	114	18	20	-1	-1	0	0	¼ÓËÄ·À	0	0	0	0	100000	0	0	0	0	0	0
t¨ng phßng thñ vËt lý	1		3	114	18	20	-1	-1	0	0	¼ÓËÄ·À	0	0	0	0	100000	0	0	0	0	0	0
t¨ng phßng thñ vËt lý	1		4	114	20	24	-1	-1	0	0	¼ÓËÄ·À	0	0	0	0	100000	0	0	0	0	0	0
t¨ng phßng thñ vËt lý	1		5	114	28	30	-1	-1	0	0	¼ÓËÄ·À	0	0	0	0	100000	0	0	0	0	0	0
t¨ng phßng thñ vËt lý	1		6	114	30	36	-1	-1	0	0	¼ÓËÄ·À	0	0	0	0	100000	0	0	0	0	0	0
t¨ng phßng thñ vËt lý	1		7	114	36	42	-1	-1	0	0	¼ÓËÄ·À	0	0	0	0	100000	0	0	0	0	0	0
t¨ng phßng thñ vËt lý	1		8	114	42	48	-1	-1	0	0	¼ÓËÄ·À	0	0	0	0	100000	0	0	0	0	0	0
t¨ng phßng thñ vËt lý	1		9	114	48	54	-1	-1	0	0	¼ÓËÄ·À	0	0	0	0	100000	0	0	0	0	0	0
t¨ng phßng thñ vËt lý	1		10	114	54	60	-1	-1	0	0	¼ÓËÄ·À	0	0	0	0	100000	0	0	0	0	0	0
hót Sinh lùc	1		2	136	1	9	-1	-1	0	0	ÍµÑª	120000	120000	0	0	0	0	0	0	0	0	0
hót Sinh lùc	1		5	136	3	10	-1	-1	0	0	ÍµÑª	120000	120000	0	0	0	0	0	0	0	0	0
hót Sinh lùc	1		7	136	5	12	-1	-1	0	0	ÍµÑª	120000	120000	0	0	0	0	0	0	0	0	0
hót Sinh lùc	1		10	136	7	15	-1	-1	0	0	ÍµÑª	120000	120000	0	0	0	0	0	0	0	0	0
hót Néi lùc	1		2	137	1	9	-1	-1	0	0	ÍµÄÚÁ¦	160000	160000	0	0	0	0	0	0	0	0	0
hót Néi lùc	1		5	137	3	10	-1	-1	0	0	ÍµÄÚÁ¦	160000	160000	0	0	0	0	0	0	0	0	0
hót Néi lùc	1		7	137	5	12	-1	-1	0	0	ÍµÄÚÁ¦	160000	160000	0	0	0	0	0	0	0	0	0
hót Néi lùc	1		10	137	7	15	-1	-1	0	0	ÍµÄÚÁ¦	160000	160000	0	0	0	0	0	0	0	0	0
T¨ng Sinh lùc	1		1	85	200	220	-1	-1	0	0	¼ÓÉúÃü×î´óÖµÉÏÏÞ	200000	200000	200000	200000	200000	200000	200000	200000	200000	200000	0
T¨ng Sinh lùc	1		2	85	220	240	-1	-1	0	0	¼ÓÉúÃü×î´óÖµÉÏÏÞ	200000	200000	200000	200000	200000	200000	200000	200000	200000	200000	0
T¨ng Sinh lùc	1		3	85	240	260	-1	-1	0	0	¼ÓÉúÃü×î´óÖµÉÏÏÞ	200000	200000	200000	200000	200000	200000	200000	200000	200000	200000	0
T¨ng Sinh lùc	1		4	85	260	280	-1	-1	0	0	¼ÓÉúÃü×î´óÖµÉÏÏÞ	200000	200000	200000	200000	200000	200000	200000	200000	200000	200000	0
T¨ng Sinh lùc	1		5	85	280	300	-1	-1	0	0	¼ÓÉúÃü×î´óÖµÉÏÏÞ	200000	200000	200000	200000	200000	200000	200000	200000	200000	200000	0
T¨ng Sinh lùc	1		6	85	300	360	-1	-1	0	0	¼ÓÉúÃü×î´óÖµÉÏÏÞ	200000	200000	200000	200000	200000	200000	200000	200000	200000	200000	0
T¨ng Sinh lùc	1		7	85	360	420	-1	-1	0	0	¼ÓÉúÃü×î´óÖµÉÏÏÞ	200000	200000	200000	200000	200000	200000	200000	200000	200000	200000	0
T¨ng Sinh lùc	1		8	85	420	480	-1	-1	0	0	¼ÓÉúÃü×î´óÖµÉÏÏÞ	200000	200000	200000	200000	200000	200000	200000	200000	200000	200000	0
T¨ng Sinh lùc	1		9	85	480	540	-1	-1	0	0	¼ÓÉúÃü×î´óÖµÉÏÏÞ	200000	200000	200000	200000	200000	200000	200000	200000	200000	200000	0
T¨ng Sinh lùc	1		10	85	540	600	-1	-1	0	0	¼ÓÉúÃü×î´óÖµÉÏÏÞ	200000	200000	200000	200000	200000	200000	200000	200000	200000	200000	0
T¨ng Néi lùc	1		1	89	205	220	-1	-1	0	0	¼ÓÄÚÁ¦ÉÏÏÞ	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	0
T¨ng Néi lùc	1		2	89	220	240	-1	-1	0	0	¼ÓÄÚÁ¦ÉÏÏÞ	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	0
T¨ng Néi lùc	1		3	89	240	260	-1	-1	0	0	¼ÓÄÚÁ¦ÉÏÏÞ	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	0
T¨ng Néi lùc	1		4	89	260	280	-1	-1	0	0	¼ÓÄÚÁ¦ÉÏÏÞ	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	0
T¨ng Néi lùc	1		5	89	280	300	-1	-1	0	0	¼ÓÄÚÁ¦ÉÏÏÞ	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	0
T¨ng Néi lùc	1		6	89	300	360	-1	-1	0	0	¼ÓÄÚÁ¦ÉÏÏÞ	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	0
T¨ng Néi lùc	1		7	89	360	420	-1	-1	0	0	¼ÓÄÚÁ¦ÉÏÏÞ	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	0
T¨ng Néi lùc	1		8	89	420	480	-1	-1	0	0	¼ÓÄÚÁ¦ÉÏÏÞ	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	0
T¨ng Néi lùc	1		9	89	480	540	-1	-1	0	0	¼ÓÄÚÁ¦ÉÏÏÞ	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	0
T¨ng Néi lùc	1		10	89	540	600	-1	-1	0	0	¼ÓÄÚÁ¦ÉÏÏÞ	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	0
T¨ng thÓ lùc	1		1	93	5	20	-1	-1	0	0	¼ÓÌåÁ¦ÉÏÏÞ	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	0
T¨ng thÓ lùc	1		2	93	20	40	-1	-1	0	0	¼ÓÌåÁ¦ÉÏÏÞ	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	0
T¨ng thÓ lùc	1		3	93	40	60	-1	-1	0	0	¼ÓÌåÁ¦ÉÏÏÞ	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	0
T¨ng thÓ lùc	1		4	93	60	80	-1	-1	0	0	¼ÓÌåÁ¦ÉÏÏÞ	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	0
T¨ng thÓ lùc	1		5	93	80	100	-1	-1	0	0	¼ÓÌåÁ¦ÉÏÏÞ	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	0
T¨ng thÓ lùc	1		6	93	100	120	-1	-1	0	0	¼ÓÌåÁ¦ÉÏÏÞ	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	0
T¨ng thÓ lùc	1		7	93	120	140	-1	-1	0	0	¼ÓÌåÁ¦ÉÏÏÞ	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	0
T¨ng thÓ lùc	1		8	93	140	160	-1	-1	0	0	¼ÓÌåÁ¦ÉÏÏÞ	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	0
T¨ng thÓ lùc	1		9	93	160	180	-1	-1	0	0	¼ÓÌåÁ¦ÉÏÏÞ	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	0
T¨ng thÓ lùc	1		10	93	180	200	-1	-1	0	0	¼ÓÌåÁ¦ÉÏÏÞ	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	0
T¨ng tèc ®é håi phôc Sinh lùc	1		1	88	3	3	-1	-1	0	0	¼ÓÉúÃü»Ö¸´ËÙ¶È	0	0	100000	100000	100000	100000	100000	100000	100000	100000	0
T¨ng tèc ®é håi phôc Sinh lùc	1		3	88	6	6	-1	-1	0	0	¼ÓÉúÃü»Ö¸´ËÙ¶È	0	0	100000	100000	100000	100000	100000	100000	100000	100000	0
T¨ng tèc ®é håi phôc Sinh lùc	1		5	88	6	9	-1	-1	0	0	¼ÓÉúÃü»Ö¸´ËÙ¶È	0	0	100000	100000	100000	100000	100000	100000	100000	100000	0
T¨ng tèc ®é håi phôc Sinh lùc	1		6	88	10	14	-1	-1	0	0	¼ÓÉúÃü»Ö¸´ËÙ¶È	0	0	100000	100000	100000	100000	100000	100000	100000	100000	0
T¨ng tèc ®é håi phôc Sinh lùc	1		8	88	12	15	-1	-1	0	0	¼ÓÉúÃü»Ö¸´ËÙ¶È	0	0	100000	100000	100000	100000	100000	100000	100000	100000	0
T¨ng tèc ®é håi phôc Sinh lùc	1		10	88	16	18	-1	-1	0	0	¼ÓÉúÃü»Ö¸´ËÙ¶È	0	0	100000	100000	100000	100000	100000	100000	100000	100000	0
T¨ng tèc ®é håi phôc Néi lùc	1		2	92	3	3	-1	-1	0	0	¼ÓÄÚÁ¦»Ö¸´ËÙ¶È	0	0	200000	200000	200000	200000	200000	200000	200000	200000	0
T¨ng tèc ®é håi phôc Néi lùc	1		5	92	6	6	-1	-1	0	0	¼ÓÄÚÁ¦»Ö¸´ËÙ¶È	0	0	200000	200000	200000	200000	200000	200000	200000	200000	0
T¨ng tèc ®é håi phôc Néi lùc	1		7	92	9	9	-1	-1	0	0	¼ÓÄÚÁ¦»Ö¸´ËÙ¶È	0	0	200000	200000	200000	200000	200000	200000	200000	200000	0
T¨ng tèc ®é håi phôc Néi lùc	1		10	92	9	12	-1	-1	0	0	¼ÓÄÚÁ¦»Ö¸´ËÙ¶È	0	0	200000	200000	200000	200000	200000	200000	200000	200000	0
T¨ng tèc ®é håi phôc ThÓ lùc	1		1	96	1	1	-1	-1	0	0	¼ÓÌåÁ¦»Ö¸´ËÙ¶È	0	0	0	300000	300000	0	0	0	0	0	0
T¨ng tèc ®é håi phôc ThÓ lùc	1		3	96	3	3	-1	-1	0	0	¼ÓÌåÁ¦»Ö¸´ËÙ¶È	0	0	0	300000	300000	0	0	0	0	0	0
T¨ng tèc ®é håi phôc ThÓ lùc	1		5	96	5	5	-1	-1	0	0	¼ÓÌåÁ¦»Ö¸´ËÙ¶È	0	0	0	300000	300000	0	0	0	0	0	0
T¨ng tèc ®é håi phôc ThÓ lùc	1		6	96	7	7	-1	-1	0	0	¼ÓÌåÁ¦»Ö¸´ËÙ¶È	0	0	0	300000	300000	0	0	0	0	0	0
T¨ng tèc ®é håi phôc ThÓ lùc	1		7	96	9	9	-1	-1	0	0	¼ÓÌåÁ¦»Ö¸´ËÙ¶È	0	0	0	300000	300000	0	0	0	0	0	0
t¨ng søc m¹nh	0	0	1	97	12	12	-1	-1	0	0	¼ÓÁ¦Á¿	0	0	0	10000	100000	0	0	0	0	10000	0
t¨ng søc m¹nh	0	0	2	97	15	15	-1	-1	0	0	¼ÓÁ¦Á¿	0	0	0	10000	100000	0	0	0	0	10000	0
t¨ng søc m¹nh	0	0	3	97	15	18	-1	-1	0	0	¼ÓÁ¦Á¿	0	0	0	10000	100000	0	0	0	0	10000	0
t¨ng søc m¹nh	0	0	4	97	21	24	-1	-1	0	0	¼ÓÁ¦Á¿	0	0	0	10000	100000	0	0	0	0	10000	0
t¨ng søc m¹nh	0	0	5	97	24	30	-1	-1	0	0	¼ÓÁ¦Á¿	0	0	0	10000	100000	0	0	0	0	10000	0
t¨ng søc m¹nh	0	0	6	97	30	36	-1	-1	0	0	¼ÓÁ¦Á¿	0	0	0	10000	100000	0	0	0	0	10000	0
t¨ng søc m¹nh	0	0	7	97	36	42	-1	-1	0	0	¼ÓÁ¦Á¿	0	0	0	10000	100000	0	0	0	0	10000	0
t¨ng søc m¹nh	0	0	8	97	42	48	-1	-1	0	0	¼ÓÁ¦Á¿	0	0	0	10000	100000	0	0	0	0	10000	0
t¨ng søc m¹nh	0	0	9	97	48	54	-1	-1	0	0	¼ÓÁ¦Á¿	0	0	0	10000	100000	0	0	0	0	10000	0
t¨ng søc m¹nh	0	0	10	97	55	60	-1	-1	0	0	¼ÓÁ¦Á¿	0	0	0	10000	100000	0	0	0	0	10000	0
t¨ng s¸t th­¬ng VËt lý	0	0	1	121	41	50	-1	-1	0	0	¼ÓÎïÀíÉËº¦	500000	500000	0	0	0	0	0	0	0	0	0
t¨ng s¸t th­¬ng VËt lý	0	0	2	121	45	50	-1	-1	0	0	¼ÓÎïÀíÉËº¦	500000	500000	0	0	0	0	0	0	0	0	0
t¨ng s¸t th­¬ng VËt lý	0	0	3	121	50	55	-1	-1	0	0	¼ÓÎïÀíÉËº¦	500000	500000	0	0	0	0	0	0	0	0	0
t¨ng s¸t th­¬ng VËt lý	0	0	4	121	55	60	-1	-1	0	0	¼ÓÎïÀíÉËº¦	500000	500000	0	0	0	0	0	0	0	0	0
t¨ng s¸t th­¬ng VËt lý	0	0	5	121	60	75	-1	-1	0	0	¼ÓÎïÀíÉËº¦	500000	500000	0	0	0	0	0	0	0	0	0
t¨ng s¸t th­¬ng VËt lý	0	0	6	121	75	90	-1	-1	0	0	¼ÓÎïÀíÉËº¦	500000	500000	0	0	0	0	0	0	0	0	0
t¨ng s¸t th­¬ng VËt lý	0	0	7	121	90	105	-1	-1	0	0	¼ÓÎïÀíÉËº¦	500000	500000	0	0	0	0	0	0	0	0	0
t¨ng s¸t th­¬ng VËt lý	0	0	8	121	105	120	-1	-1	0	0	¼ÓÎïÀíÉËº¦	500000	500000	0	0	0	0	0	0	0	0	0
t¨ng s¸t th­¬ng VËt lý	0	0	9	121	120	135	-1	-1	0	0	¼ÓÎïÀíÉËº¦	500000	500000	0	0	0	0	0	0	0	0	0
t¨ng s¸t th­¬ng VËt lý	0	0	10	121	135	150	-1	-1	0	0	¼ÓÎïÀíÉËº¦	500000	500000	0	0	0	0	0	0	0	0	0
T¨ng s¸t §éc s¸t	0	1	1	125	41	50	-1	-1	0	0	¼Ó¶¾ÉËº¦	500000	500000	0	0	0	0	0	0	0	0	0
T¨ng s¸t §éc s¸t	0	1	2	125	45	50	-1	-1	0	0	¼Ó¶¾ÉËº¦	500000	500000	0	0	0	0	0	0	0	0	0
T¨ng s¸t §éc s¸t	0	1	3	125	50	55	-1	-1	0	0	¼Ó¶¾ÉËº¦	500000	500000	0	0	0	0	0	0	0	0	0
T¨ng s¸t §éc s¸t	0	1	4	125	55	60	-1	-1	0	0	¼Ó¶¾ÉËº¦	500000	500000	0	0	0	0	0	0	0	0	0
T¨ng s¸t §éc s¸t	0	1	5	125	60	75	-1	-1	0	0	¼Ó¶¾ÉËº¦	500000	500000	0	0	0	0	0	0	0	0	0
T¨ng s¸t §éc s¸t	0	1	6	125	75	90	-1	-1	0	0	¼Ó¶¾ÉËº¦	500000	500000	0	0	0	0	0	0	0	0	0
T¨ng s¸t §éc s¸t	0	1	7	125	90	105	-1	-1	0	0	¼Ó¶¾ÉËº¦	500000	500000	0	0	0	0	0	0	0	0	0
T¨ng s¸t §éc s¸t	0	1	8	125	105	120	-1	-1	0	0	¼Ó¶¾ÉËº¦	500000	500000	0	0	0	0	0	0	0	0	0
T¨ng s¸t §éc s¸t	0	1	9	125	120	135	-1	-1	0	0	¼Ó¶¾ÉËº¦	500000	500000	0	0	0	0	0	0	0	0	0
T¨ng s¸t §éc s¸t	0	1	10	125	135	150	-1	-1	0	0	¼Ó¶¾ÉËº¦	500000	500000	0	0	0	0	0	0	0	0	0
T¨ng s¸t B¨ng s¸t	0	2	1	123	90	90	-1	-1	0	0	¼Ó±ùÉËº¦	500000	500000	0	0	0	0	0	0	0	0	0
T¨ng s¸t B¨ng s¸t	0	2	2	123	90	100	-1	-1	0	0	¼Ó±ùÉËº¦	500000	500000	0	0	0	0	0	0	0	0	0
T¨ng s¸t B¨ng s¸t	0	2	3	123	100	110	-1	-1	0	0	¼Ó±ùÉËº¦	500000	500000	0	0	0	0	0	0	0	0	0
T¨ng s¸t B¨ng s¸t	0	2	4	123	110	120	-1	-1	0	0	¼Ó±ùÉËº¦	500000	500000	0	0	0	0	0	0	0	0	0
T¨ng s¸t B¨ng s¸t	0	2	5	123	120	150	-1	-1	0	0	¼Ó±ùÉËº¦	500000	500000	0	0	0	0	0	0	0	0	0
T¨ng s¸t B¨ng s¸t	0	2	6	123	150	180	-1	-1	0	0	¼Ó±ùÉËº¦	500000	500000	0	0	0	0	0	0	0	0	0
T¨ng s¸t B¨ng s¸t	0	2	7	123	180	210	-1	-1	0	0	¼Ó±ùÉËº¦	500000	500000	0	0	0	0	0	0	0	0	0
T¨ng s¸t B¨ng s¸t	0	2	8	123	210	240	-1	-1	0	0	¼Ó±ùÉËº¦	500000	500000	0	0	0	0	0	0	0	0	0
T¨ng s¸t B¨ng s¸t	0	2	9	123	240	270	-1	-1	0	0	¼Ó±ùÉËº¦	500000	500000	0	0	0	0	0	0	0	0	0
T¨ng s¸t B¨ng s¸t	0	2	10	123	270	300	-1	-1	0	0	¼Ó±ùÉËº¦	500000	500000	0	0	0	0	0	0	0	0	0
T¨ng Ho¶ s¸t	0	3	1	122	90	90	-1	-1	0	0	¼Ó»ðÉËº¦	500000	500000	0	0	0	0	0	0	0	0	0
